"季度","縣市","地區","品項定位","款式","銷售總金額"
"第四季","彰化縣","一般縣市","中性","一般款",3411.975
"第四季","彰化縣","一般縣市","中性","自動扣",1047.375
"第四季","彰化縣","一般縣市","中性","針棒",2298.45
"第四季","彰化縣","一般縣市","特定性別","一般款",3413.55
"第四季","彰化縣","一般縣市","特定性別","自動扣",837.9
"第四季","彰化縣","一般縣市","特定性別","針棒",3060.75
"第四季","新北市","直轄市","中性","一般款",11565.225
"第四季","新北市","直轄市","中性","自動扣",6773.025
"第四季","新北市","直轄市","中性","針棒",13163.85
"第四季","新北市","直轄市","特定性別","一般款",7587.825
"第四季","新北市","直轄市","特定性別","自動扣",6144.6
"第四季","新北市","直轄市","特定性別","針棒",9321.375
"第四季","新竹市","一般縣市","中性","一般款",3552.15
"第四季","新竹市","一般縣市","中性","自動扣",1536.15
"第四季","新竹市","一般縣市","中性","針棒",2925.3
"第四季","新竹市","一般縣市","特定性別","一般款",2089.5
"第四季","新竹市","一般縣市","特定性別","自動扣",2513.7
"第四季","新竹市","一般縣市","特定性別","針棒",2226
"第四季","新竹縣","一般縣市","中性","一般款",2088.45
"第四季","新竹縣","一般縣市","中性","自動扣",1466.325
"第四季","新竹縣","一般縣市","中性","針棒",2298.45
"第四季","新竹縣","一般縣市","特定性別","一般款",1044.225
"第四季","新竹縣","一般縣市","特定性別","自動扣",1396.5
"第四季","新竹縣","一般縣市","特定性別","針棒",2504.25
"第四季","桃園市","直轄市","中性","一般款",9058.35
"第四季","桃園市","直轄市","中性","自動扣",6633.375
"第四季","桃園市","直轄市","中性","針棒",7104.3
"第四季","桃園市","直轄市","特定性別","一般款",6964.125
"第四季","桃園市","直轄市","特定性別","自動扣",6144.6
"第四季","桃園市","直轄市","特定性別","針棒",8208.375
"第四季","澎湖縣","一般縣市","中性","一般款",836.325
"第四季","澎湖縣","一般縣市","中性","自動扣",279.3
"第四季","澎湖縣","一般縣市","特定性別","一般款",626.85
"第四季","澎湖縣","一般縣市","特定性別","自動扣",279.3
"第四季","澎湖縣","一般縣市","特定性別","針棒",139.125
"第四季","花蓮縣","一般縣市","中性","一般款",1811.25
"第四季","花蓮縣","一般縣市","中性","自動扣",1256.85
"第四季","花蓮縣","一般縣市","中性","針棒",1253.7
"第四季","花蓮縣","一般縣市","特定性別","一般款",835.275
"第四季","花蓮縣","一般縣市","特定性別","自動扣",1396.5
"第四季","花蓮縣","一般縣市","特定性別","針棒",1113
"第四季","苗栗縣","一般縣市","中性","一般款",2717.925
"第四季","苗栗縣","一般縣市","中性","自動扣",1745.625
"第四季","苗栗縣","一般縣市","中性","針棒",2298.45
"第四季","苗栗縣","一般縣市","特定性別","一般款",2298.45
"第四季","苗栗縣","一般縣市","特定性別","針棒",1252.125
"第四季","金門縣","一般縣市","中性","一般款",418.425
"第四季","金門縣","一般縣市","中性","自動扣",279.3
"第四季","金門縣","一般縣市","中性","針棒",626.85
"第四季","金門縣","一般縣市","特定性別","一般款",488.25
"第四季","金門縣","一般縣市","特定性別","自動扣",558.6
"第四季","金門縣","一般縣市","特定性別","針棒",139.125
"第四季","雲林縣","一般縣市","中性","一般款",2511.075
"第四季","雲林縣","一般縣市","中性","自動扣",2024.925
"第四季","雲林縣","一般縣市","中性","針棒",1671.6
"第四季","雲林縣","一般縣市","特定性別","一般款",2856.525
"第四季","雲林縣","一般縣市","特定性別","自動扣",837.9
"第四季","雲林縣","一般縣市","特定性別","針棒",1113
"第四季","高雄市","直轄市","中性","一般款",12118.575
"第四季","高雄市","直轄市","中性","自動扣",8937.6
"第四季","高雄市","直轄市","中性","針棒",12119.1
"第四季","高雄市","直轄市","特定性別","一般款",7245.525
"第四季","高雄市","直轄市","特定性別","自動扣",4189.5
"第四季","高雄市","直轄市","特定性別","針棒",12103.875
"第二季","台東縣","一般縣市","中性","針棒",0
"第四季","澎湖縣","一般縣市","中性","針棒",0
"第一季","台東縣","一般縣市","中性","自動扣",0
"第四季","台東縣","一般縣市","中性","自動扣",0
"第一季","雲林縣","一般縣市","中性","自動扣",0
"第三季","澎湖縣","一般縣市","中性","自動扣",0
"第一季","金門縣","一般縣市","中性","自動扣",0
"第二季","金門縣","一般縣市","中性","自動扣",0
"第三季","花蓮縣","一般縣市","特定性別","自動扣",0
"第四季","苗栗縣","一般縣市","特定性別","自動扣",0
"第四季","基隆市","一般縣市","特定性別","自動扣",0
